序号,区县名称,街道名称,社区名称,类别名,名称（全称）,地址（详细到门牌号）,邮政编码,联系电话,服务项目,服务时间
560,昌平区,城南街道,北郝庄村社区,超市,王树利家超市,北郝庄村144号,102200,80101637,日用百货,7:00-22:00
561,昌平区,城南街道,北郝庄村社区,超市,阚绍昆家超市,北郝庄村100号,102200,80101637,日用百货,7:00-22:00
562,昌平区,东小口镇,奥北中心社区,超市,奥北便利店,一号楼1-52,,64125940,超市,
563,昌平区,东小口镇,奥北中心社区,超市,好年好景便民连锁高店,2号楼1-107,,64125322,超市,
564,昌平区,东小口镇,奥北中心社区,超市,北京思琪顺超市,2号楼1-（2-3),,57256617,超市,
565,昌平区,东小口镇,天通苑北三区,超市,物美便利店,天通苑北三区6#楼6单元,102218,81774092,食品、日用品销售,
566,昌平区,东小口镇,天通北苑第一社区,超市,京客隆,天通苑北一区42号楼一层,,,,
567,昌平区,东小口镇,和谐家园社区,超市,志文超市,二区西门底商,102208,81743976,日用百货、干鲜果品,
568,昌平区,东小口镇,东辰社区,超市,映红超市,东辰小区物业楼一层,100192,,出售生活用品,全天
569,昌平区,东小口镇,北方明珠社区,超市,家乐福,北京市昌平区立汤路186号龙德广场,102218,84812978,,
570,昌平区,东小口镇,天通东苑第三社区,超市,"天通东苑第三社区
物美超市大卖场",天通东苑第三社区2号楼,102218,61760155,服务居民,
571,昌平区,东小口镇,天通东苑第四社区,超市,物美便利店,东一区61号,102218,80786670,百货销售,早7-晚8
572,昌平区,东小口镇,天通东苑第四社区,超市,双汇超市,东一区63号,102218,13121846021,百货销售,早7-晚8
573,昌平区,东小口镇,天通东苑第一社区,超市,春凯超市,天通东苑一区6#-5门,102218,61768429,免费送货,每天7:00---23:00
574,昌平区,东小口镇,天通东苑第一社区,超市,北京天通天奕商贸中心（别名：大红鲤礼品店）,天通东苑一区6#-6门,102218,13146453590,免费送货,每天8:00---23:00
575,昌平区,东小口镇,天通东苑第一社区,超市,北京日升隆鑫超市,天通东苑一区9#-1-1门,102218,61747030,免费送货,每天7:00---23:00
576,昌平区,东小口镇,天通东苑第一社区,超市,"北京泰康裕源商店
（北京泰康源超市）",天通东苑一区21#-3-101,102218,80783753,免费送货,每天7:00---23:00
577,昌平区,东小口镇,天通东苑第一社区,超市,"北京燕宏杰商贸中心
（鸿运便利店超市）",天通东苑一区21#-1-102,102218,61747633,免费送货,每天8:00---23:00
578,昌平区,东小口镇,天通东苑第一社区,超市,草原兴发,天通东苑一区29#-2-102,102218,61741563,免费送货,每天7:00---23:00
579,昌平区,东小口镇,天通东苑第一社区,超市,天顺鑫德商贸中心（别名：名烟名酒）,天通东苑一区33#-2-101,102218,13051236653,免费送货,每天8:00---23:00
580,昌平区,东小口镇,天通东苑第一社区,超市,北京通苑旺发商业中心（别名：百旺超市）,天通东苑一区33#-3-101,102218,61741613,免费送货,每天7:00---23:00
581,昌平区,东小口镇,都市芳园社区,超市,都市芳园综合小卖部,都市芳园社区东门,102209,69799206,为居民提供生活日常小用品和食品,9:00-21:00
582,昌平区,东小口镇,华龙苑北里社区,超市,可来溢金超市,华龙苑北里二号楼底商1号,102208,69792923,日用品、食品,全天
583,昌平区,东小口镇,九台社区,超市,嘉玲超市,九台庄园庚01,102209,,卖各种商品,8：00-17：00
584,昌平区,东小口镇,流星花园社区,超市,百惠联美超市,流星花园三区39号楼底商,102208,81712641,副食、百货日用、小商品,
585,昌平区,东小口镇,龙回苑社区,超市,玉泉连锁超市,东小口镇龙回苑西商业楼,102208,81748193,销售食品百货综合商店,早7—晚10
586,昌平区,东小口镇,太平家园社区,超市,太平家园超市,太平家园18号楼西侧,102218,84824368,食品.日用品另售,
587,昌平区,东小口镇,天通苑第二社区,超市,超市发天通苑东区店,天通苑六区36号楼,102218,84813561,蔬菜水果主食副食日用杂品,全天
588,昌平区,东小口镇,天通苑第二社区,超市,甜甜超市,天通苑四区10号楼,102218,13601393164,蔬菜水果粮食主食鱼肉,全天
589,昌平区,东小口镇,天通苑第二社区,超市,通达超市,天通苑六区14号楼,102218,84842308,主食副食日用杂品,全天
590,昌平区,东小口镇,天通苑第二社区,超市,顺天超市,天通苑六区14号楼,102218,84824347,主食副食日用杂品,全天
591,昌平区,东小口镇,天通苑第二社区,超市,美购超市,天通北苑二区甲33楼,102218,61268598,提供社区居民基本生活必需品,8:00-20:00
592,昌平区,东小口镇,天通东苑第二社区,超市,天通苑东二区居委会,东二区37号楼,102218,,服务居民,
593,昌平区,东小口镇,天通西苑第二社区,超市,物美便利超市,16号楼底商,102218,64124877,百货、副食,8:00-21:00
594,昌平区,东小口镇,天鑫家园社区,超市,世纪联华超市,天鑫家园社区12号楼底商,102208,13681283803,食品、百货、日杂,8:00至22:00
595,昌平区,东小口镇,天鑫家园社区,超市,天鑫永福超市,天鑫家园社区12号楼底商,102208,69790326,食品、百货、日杂,8:00至23:00
596,昌平区,东小口镇,天通西苑第三社区,超市,世纪华联超市,三区11号楼104,102218,84814298,食品、日用品、五金,9:00—21:00
597,昌平区,东小口镇,天通西苑第三社区,超市,西单商场天通苑连锁,五区商业楼,102218,,食品、日用品、服装、鞋帽,9:00—20:30
598,昌平区,东小口镇,田园风光雅苑社区,超市,北京市众乐馨隆便利店,昌平区东小口回南路5号田园风光雅苑34号楼,102208,13161168828,便民购物,8:00-22:00
599,昌平区,东小口镇,天通西苑第三社区,超市,超市发天通苑西区店,天通苑西三区18号楼,,,,
600,昌平区,东小口镇,天通西苑第一社区,超市,惠多多超市,西一区58#楼,102218,84813411,日用、百货、食品,
601,昌平区,回龙观镇,北店嘉园社区,超市,物美超市,北店时代广场地下一层,102208,80750072,超市,8.30-21.00
602,昌平区,回龙观镇,龙乡社区,超市,龙乡超市,回龙观龙乡社区院内,100096,,,
603,昌平区,回龙观镇,万龙社区,超市,好润佳超市,万龙社区18号,100096,62710969,日用品、食品、百货、烟酒,8：00--22：00
604,昌平区,回龙观镇,新龙城社区,超市,世纪华联超市,昌平区380号院,100096,13261044870,日用生活品、粮油、副食、,8:00——22:00
605,昌平区,回龙观镇,天龙苑社区,超市,矩阵超市矩阵超市,社区26号楼西侧物业小白楼一层,102208,1.37E+18,日用品、食品,8-21点
606,昌平区,回龙观镇,万润家园社区,超市,万润益家超市,13号楼底商,100096,,日用百货,
607,昌平区,回龙观镇,北郊农场社区,超市,华润超市,冠庭园8号楼底商,102208,,,
608,昌平区,回龙观镇,龙兴园北区社区,超市,便民超市,北京人家16-1-102,102208,80791819,小商品零售,7:00-22:00
609,昌平区,回龙观镇,东村家园社区,超市,华联超市,北京市昌平区回龙观镇东村家园西门,100096,,,8:00-17:30
610,昌平区,回龙观镇,龙泽苑西区,超市,观里人超市,龙泽苑西区25号楼底商,102208,,,8:00-22:00
611,昌平区,回龙观镇,龙泽苑东区,超市,祥和超市,龙泽苑东区1号楼底商,102208,,,7:30-23:00
612,昌平区,回龙观镇,龙腾六区社区,超市,社区超市,龙腾六区8-1-101,102208,13552431977,生活日用品,8:00-20:00
613,昌平区,回龙观镇,龙兴园中区社区,超市,龙兴园中区、南区、金达园小区,龙兴园中区、南区、金达园小区,100085,,经营,全天候
614,昌平区,回龙观镇,良庄家园社区,超市,美廉美超市,北市昌平区文华东路30号美廉美,102208,,,
615,昌平区,回龙观镇,龙城社区,超市,龙城花园小超市,北京市昌平区回龙观龙城花园S区综合楼一层,102208,80795224,便民服务,8:30-17:00
616,昌平区,回龙观镇,碧水庄园社区,超市,碧水庄园超市,昌平区回龙观镇定福皇庄75号,102206,80712944,出售日常生活用品、蔬菜,12小时
617,昌平区,回龙观镇,龙腾五社区,超市,龙腾五物美便民超市,4号楼底商,102208,13693291638,为居民提供生活必需品、零食、蔬菜等,8点-22点
618,昌平区,南口镇,保温瓶公司社区,超市,南口鑫新超市,南口镇东大街16号院外,102202,89798935,副食百货,全天
619,昌平区,南口镇,隆盛街社区,超市,大学生超市,南大街乙15号,102202,,百货零售,
620,昌平区,南口镇,隆盛街社区,超市,大隆惠仓,南大街14号,102202,,百货零售,
621,昌平区,南口镇,南厂东社区,超市,南口兴盛达超市,南厂中区11号楼底商,102202,69773568,日常用品,无假日
622,昌平区,南口镇,南厂西社区,超市,赛购超市,昌平区南口镇南口工厂大门北侧,102202,89796824,日用百货,周一～周五
623,昌平区,南口镇,南农社区,超市,北京南口新北商场惠万佳超市,南农家园院内,102202,89799855,日用品、副食、主食,全天
624,昌平区,南口镇,十一条社区,超市,禹都副食店,南口东大街5号楼底商,102202,69785343,经营副食,8点-22点
625,昌平区,南口镇,十一条社区,超市,南口建伟超市,南口南大街1号,102202,,经营副食,全日8点-22点
626,昌平区,南口镇,兴隆街社区,超市,美廉美超市,交通街10号,102202,69770198,,每天上午9点至晚上9点
627,昌平区,南口镇,兴隆街社区,超市,星城百货超市,南大街5号,102202,69771034,,每天上午9点至晚上9点
628,昌平区,沙河镇,沙阳路社区,超市,华联超市,沙阳路11号,102206,59374030,日用品、包装食品,全天
629,昌平区,沙河镇,站前路社区,超市,世纪家家福超市,巩华大街28号,102206,18911308660,自选食品、日用品,全天
630,昌平区,小汤山镇,行政区社区,超市,太阳城购物中心,立汤路30号院,102209,61792416,购物,周一至周日
631,昌平区,小汤山镇,市场街社区,超市,新世纪商场,小汤山市场街,102211,61781620,日用百货、食品、服装、电器销售,上午8：00至晚20：00
632,大兴区,观音寺街道,观音寺社区,超市,京客隆超市,双河南路6号,102621,69264011,商品零售,
633,大兴区,观音寺街道,观音寺南里社区,超市,任我在线,观音寺南里30号楼东侧,,69254210,出售日用品、食品、蔬菜等,
634,大兴区,观音寺街道,开发区社区,超市,任我在线超市,大兴区福苑小区甲30号楼,102628,,日用百货、副食、蔬菜、烟酒,全天
635,大兴区,观音寺街道,南湖园社区,超市,毛欣超市,南湖园小区大门口,102600,61294103,出售日常用品,全天
636,大兴区,观音寺街道,双河北里社区,超市,雅轩隆超市,双河北里24号楼南侧,102600,15711364284,日常生活用品,每天
637,大兴区,观音寺街道,双河南里社区,超市,冠客隆超市,双河南巷东侧,102600,,日常生活用品,早8点-晚9点
638,大兴区,观音寺街道,双河南里社区,超市,任我在线超市,居委会门口东侧,102600,69241184,日常生活用品,早8点-晚9点
639,大兴区,观音寺街道,泰中花园社区,超市,世纪家家福超市,泰中花园2-8底商,102628,61271363,日用百货,全天
640,大兴区,观音寺街道,团河社区,超市,佳佳吉利超市,新安里广阳大街,102600,15901028962,服务,
641,大兴区,观音寺街道,新安里社区,超市,宏利超市,新居里社区甲3号,102600,13011884666,销售日常生活用品,全天
642,大兴区,黄村地区,新凤小区社区,超市,新凤小区便利店,物业楼一层,102600,61264869,提供便民服务,16小时
643,大兴区,旧宫地区办事处,德林园社区,超市,德林园超市,德林园6号楼底商,100076,87974609,,
644,大兴区,旧宫地区办事处,德茂社区,超市,德茂社区广联超市,德茂庄路28号,100076,67951463,给居民提供各种生活用品,全天·
645,大兴区,旧宫地区办事处,德茂佳苑社区,超市,德懋嘉廉超市,德茂佳苑底商1-1-101,100076,13552009883,综合服务,无休假
646,大兴区,旧宫地区办事处,红星北里社区,超市,首航超市7店,万源路343路总站东侧,,,,
647,大兴区,旧宫地区办事处,幻星家园社区,超市,永辉超市,小红门路28号,100076,,综合超市,
648,大兴区,旧宫地区办事处,佳和园社区,超市,首航超市,旧宫镇商业街88号,100076,87964607,百货、美容,8:00-22:00
649,大兴区,旧宫地区办事处,灵秀山庄社区,超市,便民超市、首航超市,灵秀山庄3号楼1单元101室、灵秀山庄会所,100076,87918926,居民购物,无假日
650,大兴区,旧宫地区办事处,绿洲家园社区,超市,绿洲社区红蕃茄超市,绿洲社区乙13-1-101,100076,67923913,综合服务,早9点晚9点
651,大兴区,旧宫地区办事处,美然社区,超市,利点点超市、天天便利店,大兴区旧宫镇美然家园平房2号、5号,100076,,蔬菜、水果、日用品（没照）,
652,大兴区,旧宫地区办事处,清和园社区,超市,盛昌超市,清和园社区内,100076,,方便居民购物,周一至周日
653,大兴区,旧宫地区办事处,清逸西园社区,超市,首航超市,旧宫镇商业街88号,100076,87964607,社区居民生活服务,全年
654,大兴区,旧宫地区办事处,清逸园社区,超市,首航超市,商业街88号,100076,87964607,方便居民购物,周一至周日
655,大兴区,旧宫地区办事处,宣颐家园社区,超市,永辉超市,小红门路39号宣颐社区北门,,58310588,综合服务,早8点-晚10点
656,大兴区,林校路街道,车站南里社区,超市,双燕超市,车南漪景园底商,102600,80955664,烟酒糖及日用百货,每天
657,大兴区,林校路街道,车站中里社区,超市,烟酒公司超市,林校北路20号,102600,69230059,便民,工作日
658,大兴区,林校路街道,建兴社区,超市,文高超市,车站北里甲29号楼门脸,102600,69257683,销售文化用品、日常用用品及食品,12小时
659,大兴区,林校路街道,林校北里社区,超市,金村家园超市,红楼东巷,102600,69243863,食品批发零售,周一至周日
660,大兴区,林校路街道,兴华南里社区,超市,志伟名烟名酒超市烟酒茶专营大兴吉荣鑫百货商店黄村明顺发百货店,兴业大街76-11-2黄村西大街56号兴华大街三段63号,102600,6.92E+26,经营烟酒、食品、百货等小物品,9:00—21:00
661,大兴区,林校路街道,兴水社区,超市,晶磊超市,大兴区黄村镇义和庄南里一区5号楼东侧,102600,61216798,生活用品零售,
662,大兴区,林校路街道,兴政东里社区,超市,物美大卖场,兴丰大街,102600,69209797,,?
663,大兴区,林校路街道,兴政西里社区,超市,星城商厦超市,兴丰南大街3段185号,102600,69294490,为辖区居民提供生活日用品供应,每天12小时
664,大兴区,林校路街道,义和庄东里社区,超市,宾来客超市,义平路62号,102600,61215843,批发零售,全天
665,大兴区,林校路街道,义和庄南里社区,超市,北京易购廉商贸中心,林校路西侧大庄新村西侧,102600,61215950,烟酒茶糖及日用品,每天
666,大兴区,林校路街道,饮马井社区,超市,幸福家园超市,林校路北口南侧,102600,69260452,便民,正常营业时间
667,大兴区,林校路街道,永华南里社区,超市,世纪华联超市,永华南里3-3-102,102600,13811255579,日用品销售,
668,大兴区,青云店镇,大东社区,超市,世纪多客超市,步行街38-6,102605,,零售各种日用百货,
669,大兴区,青云店镇,大东社区,超市,福源瑞泰超市,步行街41-7,102605,,零售各种日用百货,
670,大兴区,清源街道,枣园社区,超市,新生互惠超市,枣园31号楼?底商,102600,18910633296,综合超市,早8:30-晚9:30
671,大兴区,清源街道,枣园社区,超市,德心汇全超市,枣园31号楼?底商,102600,81296038,综合超市,早8:30-晚9:30
672,大兴区,清源街道,枣园社区,超市,双河超市,枣园北里11号底商,102600,13661145572,综合超市,早8:30-晚9:30
673,大兴区,清源街道,枣园社区,超市,滨河鑫兴超市,枣园北里11号底商,102600,69223294,综合超市,早8:30-晚9:30
674,大兴区,清源街道,枣园社区,超市,金云祥日用百货商店,枣园40号楼底商,102600,69252507,综合超市,早8:30-晚9:30
675,大兴区,清源街道,枣园社区,超市,温馨商店,枣园31号楼?底商,102600,61355253,综合超市,早8:30-晚9:30
676,大兴区,清源街道,枣园社区,超市,宝利商店,枣园小区6号楼底商,102600,69202494,综合超市,早8:30-晚9:30
677,大兴区,清源街道,枣园东里北区社区,超市,家园超市,二公司家属院内平房,102600,69228234,销售食品、家庭日用品等生活用品,早7点—晚12点
678,大兴区,清源街道,枣园东里北区社区,超市,顺天来超市,枣园东里23号楼底商,102600,69205031,销售食品、家庭日用品等生活用品,早7点半—晚11点
679,大兴区,清源街道,郁花园二里社区,超市,龙翔超市,郁花园二里底商,102627,60268992,日用百货,周一至周日
680,大兴区,清源街道,郁花园社区,超市,首航超市,商业街12号,102627,60260559,百货,
681,大兴区,清源街道,学院社区,超市,烟酒如意超市,丽园东里7-4底商,102617,13439293637,百货,
682,大兴区,清源街道,学院社区,超市,渴望便利店,校长大厦正门东侧,102617,81418574,百货,
683,大兴区,清源街道,学院社区,超市,365美天超市,丽园东里7-7底商,102617,69236636,百货,
684,大兴区,清源街道,兴涛社区,超市,天地书新超市,兴涛园35号楼底商,102627,13717995126,,
685,大兴区,清源街道,兴盛园社区,超市,世纪联华超市,大兴区兴盛园社区10号楼底商,102627,60229069,日用百货,
686,大兴区,清源街道,兴华园社区,超市,任我在线,8号楼205—6号,102600,,超市,9：00—21：00
687,大兴区,清源街道,兴华园社区,超市,物美大卖场,兴华北路二段78号院46,102600,13661165326,超市,9：00—21：00
688,大兴区,清源街道,兴华园社区,超市,福润万家超市,兴丰大街二段78号132号,102600,69267768,超市,9：00—21：00
689,大兴区,清源街道,香留园社区,超市,任我在线超市,香留园社区（兴盛街124号）,102600,,百货、蔬菜,全年
690,大兴区,清源街道,香留园社区,超市,嘉荣超市,兴盛街一段90-92,102600,1.35E+11,百货、蔬菜,全年
691,大兴区,清源街道,香海园社区,超市,京久红超市发,香海园社区3-4-102室,102607,60231751,出售商品,全年
692,大兴区,清源街道,清源西里社区,超市,兴多利超市,兴丰大街二段221-3,102600,69254170?,日用百货销售,周一至周日
693,大兴区,清源街道,清源西里社区,超市,奇普超市,清源西里5号楼底商（无门牌）,102600,692201613,日用百货销售,周一至周日
694,大兴区,清源街道,清源西里社区,超市,北京清源益民社区服务中心可可儿百货商店,清源西里5号楼底商（无门牌）,102600,692625644,日用百货销售,周一至周日
695,大兴区,清源街道,清源西里社区,超市,兴客隆超市,清源西里小区西门8号门店,102600,69223568,日用百货销售,周一至周日
696,大兴区,清源街道,丽园南区社区,超市,中粮超市??菊芹超市,丽园南区底商30-7丽园南区底商30-10,102600,6.93E+18,食品?日用品,
697,大兴区,清源街道,丽园社区,超市,北京迪亚天天超市,丽园B区12号楼底商,102600,69250505-805,副食品、日常用品零售,早8：00至晚8：00
698,大兴区,清源街道,康盛园社区,超市,任我在线超市,康盛园社区居委会,102600,60207061,超市,全天
699,大兴区,清源街道,康和园社区,超市,烟酒超市雅家乐超市,康和园社区162-2底商康和园162-2底商,102627,1.31E+21,日常用品销售,
700,大兴区,清源街道,金惠园三区社区,超市,北京黄村孙虎百货商店,金惠园三里26号底商24号,102627,60295125,百货,周一到周日8：00-22：00
701,大兴区,清源街道,金惠园三区社区,超市,北京黄村香苏果超市,金惠园三里26号底商12-14,102627,60295279,百货,周一到周日8：00-22：00
702,大兴区,清源街道,滨河西里南区社区,超市,北京天超仓储有限责任公司20分公司,兴丰北大街党校北侧,102600,69265703,日常百货、日杂用品销售,全天
703,大兴区,清源街道,滨河北里社区,超市,大兴华堂商场,康庄路26号,102600,81282288,为我辖区的居民提供方便购物,
704,大兴区,天宫院街道,海子角西里社区,超市,北京黄村旺家乐超市,黄徐路东侧,,61242695,,早9点-晚9点
705,大兴区,天宫院街道,海子角西里社区,超市,北京利忠香舍便利超市,黄徐路西侧,102600,13651154053,超市,早8点-晚9点
706,大兴区,天宫院街道,矿林庄社区,超市,永珍百货商店,天河北路8号,102600,60281467,零售食品小百货,常年
707,大兴区,天宫院街道,天堂河社区,超市,世纪家家福超市、吉佰盛超市,天堂河天利路12外,102609,60273138、60279484,日用百货,
708,大兴区,西红门地区办事处,博苑社区,超市,华美万家超市,西红门镇欣宁街世嘉博苑小区1号楼55号底商,100162,13146471383,日用百货,
709,大兴区,西红门地区办事处,博苑社区,超市,和谐万家超市,西红门镇欣宁街世嘉博苑小区2号楼60号底商,100162,13521166571,日用百货；餐饮,
710,大兴区,西红门地区办事处,博苑社区,超市,北京顺和利超烟酒商店,西红门镇欣宁街世嘉博苑小区6号楼78号底商,100162,13269422886,零售；日用百货,
711,大兴区,西红门地区办事处,博苑社区,超市,北京百货兴盛超市,西红门镇欣宁街世嘉博苑小区10号楼1单元102室,100162,18710125939；13121227327,零售；日用百货,
712,大兴区,西红门地区办事处,福星社区,超市,福星社区便民超市,西红门13号福星花园院内,100162,,食品百货,9:00—20:00
713,大兴区,西红门地区办事处,宏大园社区,超市,1千佰亿新时代商城?2华联超市,1西红门宏盛路221号?2宏大中园3-4号,100162,1.15901032979??2.13691579450,,
714,大兴区,西红门地区办事处,金华园社区,超市,世纪家家福超市,大兴区西红门镇金华园物业楼,100162,61280496,零售小食品、冷饮饮料、蔬菜,每日7:00-22:00
715,大兴区,西红门地区办事处,金华园社区,超市,烟酒茶商行,大兴区西红门镇金荣园二期底商5号,100162,,零售烟酒,每日9:00-21:00
716,大兴区,西红门地区办事处,金华园社区,超市,金荣园平价超市,大兴区西红门镇金荣园二期底商7号,100162,61282921,销售定型包装食品、冷饮、瓶装酒,每日7:00-22:00
717,大兴区,西红门地区办事处,金华园社区,超市,世纪华联超市金荣园店,大兴区西红门镇金荣园二期物业,100162,,零售百货、食品,每日8:30-22:00
718,大兴区,西红门地区办事处,金华园社区,超市,金荣园超市,大兴区西红门镇金荣园5号楼103室,100162,,零售小食品、冷饮饮料、蔬菜,每日7:00-22:00
719,大兴区,西红门地区办事处,金华园社区,超市,雨花便利坊?,大兴区西红门镇金荣园3-104,100162,61282705,零售小食品、冷饮饮料,每日7:00-22:00
720,大兴区,西红门地区办事处,理想城社区,超市,北京欣荣理想超市,欣荣北大街18-5,100162,80259471,日用百货销售,
721,大兴区,西红门地区办事处,理想城社区,超市,德润万家烟酒超市,欣荣北大街18-1,100162,15300052579,日用百货销售,
722,大兴区,西红门地区办事处,瑞海北区社区,超市,乐兴隆超市,宏旭路215号,100162,60248747,食品、日常百货,7:00-21:00
723,大兴区,西红门地区办事处,瑞海北区社区,超市,来旺食品店,宏旭路229号,100162,60247188,酱菜、食品,8:00-20:00
724,大兴区,西红门地区办事处,瑞海北区社区,超市,零食e族,宏旭路171号,100162,13911850290,食品,10:00-22:00
725,大兴区,西红门地区办事处,瑞海北区社区,超市,都美综合批发部,宏旭路203号,100162,60291435,食品、日常百货,7:00-23:00
726,大兴区,西红门地区办事处,瑞海北区社区,超市,宏旭食品店,宏旭路201号,100162,60293792,食品、日用百货,7:30-24:00
727,大兴区,西红门地区办事处,瑞海南区社区,超市,北京西红门万家缘超市,宏旭路262-264号,100162,60249943,超市,9:00-22:00
728,大兴区,西红门地区办事处,瑞海南区社区,超市,北京西红门合福兴超市,宏旭路194号,100162,86901749,超市,9:00-22:01
729,大兴区,西红门地区办事处,瑞海南区社区,超市,北京金海洋超市,宏旭路224号,100162,60259360,超市,9:00-22:02
730,大兴区,西红门地区办事处,同兴园社区,超市,利佳副食品自选超市、,同兴园七号楼底商,100162,67975209,食品百货,8：00-10：00
731,大兴区,西红门地区办事处,同兴园社区,超市,北京宏达超市,绿林苑一号楼底商,100162,13693283894,食品百货,8：00-10：00
732,大兴区,西红门地区办事处,兴海三期社区,超市,首航超市,兴海日苑底商222号,100162,80250841,商品销售,
733,大兴区,西红门地区办事处,兴月苑社区,超市,北京永联百利超市,西红门兴海一期欣旺大街119-121,100162,60233587/13641120466,购物，百货，食品,工作日
734,大兴区,兴丰街道,富强东里社区,超市,任我在线超市,富强东里8#北侧,102600,51288775,日杂百货,8点-21点
735,大兴区,兴丰街道,富强南里社区,超市,北京市四环商贸有限公司,黄村兴丰北街41号,102600,69257831,综合零售,全天
736,大兴区,兴丰街道,富强南里社区,超市,北京任我在线科技发展有限公司（任我在线体验超市9号店）,黄村西里22号楼东侧平房,102600,69247924,综合零售,全天
737,大兴区,兴丰街道,黄村东里社区,超市,京客隆便利店,龙河路198号,102600,13911886398,百货零售,全天
738,大兴区,兴丰街道,黄村西里社区,超市,任我在线超市,黄村西里56号楼北侧四合院,102600,69241350,日用百货,早7：00至晚21：00
739,大兴区,兴丰街道,黄村中里社区,超市,1北京任我在线科技发展有限公司第十一销售分店2北京京兴惠美超市,1黄村东大街35号往西10米2黄村中里3号楼3门店,102600,6.93E+18,1销售定型包装食品、日用百货?卫生洁具文化体育用品2销售日用百货、卫生洁具、包装食品,8：00-19:00全天
740,大兴区,兴丰街道,康居社区,超市,物美便利店,黄村西大街137号,102600,13601002076,零售日用百货,早7点-22点
741,大兴区,兴丰街道,康居社区,超市,星瑞缘超市,黄村西大街123号,102600,69243744,零售日用百货,早7点-22点
742,大兴区,兴丰街道,清城社区,超市,北京世纪联华清城超市有限公司,清城北区27号楼地下一层,102600,69248026,超市零售,全天
743,大兴区,兴丰街道,瑞康家园社区,超市,任我在线,瑞康家园34号楼南侧,102600,69243574,,
744,大兴区,兴丰街道,三合南里社区,超市,三合南里社区任我在线超市,三合南里社区11号楼东侧,102600,,,每天
745,大兴区,亦庄地区,富源里社区,超市,郑国辉烟酒商店,富源里3-7-102,100176,13126688889,烟酒批发,全天
746,大兴区,亦庄地区,富源里社区,超市,鑫腾达小卖部,富源里14号楼-11,100176,67899737,食品零售,全天
747,大兴区,亦庄地区,富源里社区,超市,北京亦庄谷晨曦超市,富源里14号楼-8,100176,15718846069,食品零售,全天
748,大兴区,亦庄地区,富源里社区,超市,北京海霞饮酒商店,富源里9号楼西2车库,100176,67899462,烟酒食品,全天
749,大兴区,亦庄地区,富源里社区,超市,北京亦庄源和食品店,富源里5号楼南侧西1车库,100176,13671037089,食品零售,全天
750,大兴区,亦庄地区,富源里社区,超市,北京亦庄源一泉茶庄,富源里5号楼北侧西1车库,100176,13126532625,食品零售,全天
751,大兴区,亦庄地区,贵园北里社区,超市,京客隆超市,贵园商业街,100176,,居家日常用品销售,
752,大兴区,亦庄地区,贵园北里二区社区,超市,京客隆超市,贵园路贵园商业街西侧十字路口处,100176,67887365,日常用品、蔬菜瓜果、家用电器的销售,全天
753,大兴区,亦庄地区,鹿海园一里社区,超市,北京首航超市四十八店,北京市大兴区亦庄镇鹿海园一里20号楼,100176,67808405,日用百货、蔬菜水果、粮油等销售,
754,大兴区,亦庄地区,泰河园社区,超市,首航超市鹿海苑店,鹿海园一里一区,100176,67808406,生活、日化等日常消费品,营业时间内
755,大兴区,亦庄地区,晓康社区,超市,京客隆，福兰德,"小康家园1,2号楼",100023,,便民购物,11小时
756,大兴区,亦庄地区,星岛社区,超市,星岛嘉园会所超市,星岛嘉园小区会所,100176,67893251,销售日用品、食品,上午8点至晚8点
757,大兴区,瀛海地区,兴海园社区,超市,北京瀛海金顺超市,兴海园小区7-1-101,100076,69274884,商品零售,8:00-20：00
758,大兴区,瀛海地区,兴海园社区,超市,福顺多超市,兴海园小区6-1-101,100076,69274996,商品零售,8:00-20：00
759,大兴区,瀛海地区,兴海园社区,超市,北京世纪家家福,玉璟园底商2-2,100076,69276517,商品零售,8:00-20：00
760,大兴区,瀛海地区,兴海园社区,超市,北京玉璟园乐,玉璟园底商1-10-12,100076,69276455,商品零售,8:00-20：00
761,平谷区,渔阳地区,海关西园社区,超市,云飞兴鹏超市,甲14-6,101200,13241624978,销售日用百货,7：00-20：00
762,平谷区,渔阳地区,海关西园社区,超市,天瑞合商店,仁合7-4-2,101200,69932310,销售日用百货,7：00-20：00
763,平谷区,渔阳地区,海关西园社区,超市,北京旺明兴盛百货店,仁合7-5-1,101200,13240912069,销售日用百货,7：00-20：00
764,平谷区,渔阳地区,海关西园社区,超市,金海华美超市,西环南路5-5-4,101200,69931396,销售日用百货,7：00-20：00
765,平谷区,渔阳地区,海关西园社区,超市,和祥瑞金商贸有限公司,西环南路5号-1-2,101200,51321630,销售日用百货,7：00-20：00
766,平谷区,渔阳地区,海关西园社区,超市,北京真彩海苹百货店,海关西园9-1-1,101200,15910261095,销售日用百货,7：00-20：00
767,平谷区,渔阳地区,海关西园社区,超市,益盛仁合商店,甲1-1-2,101200,51328208,销售日用百货,7：00-20：00
768,平谷区,渔阳地区,海关西园社区,超市,兴谷泉副食经销部,西环南路5号,101200,69931011,销售饮料、烟酒,7：00-20：00
769,平谷区,渔阳地区,海关西园社区,超市,可心天阔百货店,航宇北街8-1-3北平房,101200,89991893,销售日用百货,7：00-20：00
770,平谷区,渔阳地区,海关西园社区,超市,北京雨顺万鑫商贸中心,甲1-7-1,101200,15201017299,销售日用百货,7：00-20：00
771,平谷区,渔阳地区,海关西园社区,超市,北京望都泉商店,甲1-5-1,101200,51320084,销售日用百货,7：00-20：00
